,SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR,GDP_per_capita
1719,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2024,19067.838,19015.088,9209.716,9805.372,82.647,93.9252,42.9196,-77.043,-4.051,-105.5,-0.555,,180.942,17.575,9.516,1.7111,0.8234,28.243,105.6,257.985,130.246,127.739,13.567,76.0925,72.564,79.6835,61.679,58.197,65.2121,16.9426,15.0493,18.4509,7.4254,6.9377,7.7048,0.929,5.1248,180.144,1.146,6.2849,25.9227,34.0513,17.2938,132.6821,183.831,78.2655,48.1457,67.1538,27.7553,125.7575,176.4339,71.9518,-28.466,-1.497,20072.41
1720,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2020,146554.625,146371.298,67975.286,78396.013,8.9383,86.7076,38.692,-700.746,-4.788,-366.653,-0.25,,1458.02,48.727,9.961,1.505,0.7195,28.793,105.8,2158.766,1072.865,1085.9,14.749,71.1705,66.2673,75.9227,56.6744,51.7886,61.3965,14.889,12.1652,16.7366,7.147,6.0968,7.5787,6.732,4.5979,1452.255,8.659,5.7253,56.9292,78.5287,34.6393,216.495,299.8089,133.4727,108.556,153.6005,63.0191,210.7209,294.0512,127.8665,334.094,2.283,10108.33
1721,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2019,146511.509,146533.067,68044.184,78488.883,8.9482,86.6928,38.4415,-293.385,-2.003,43.116,0.029,,1496.027,49.241,10.209,1.504,0.7199,28.725,105.8,1789.412,919.004,870.408,12.212,73.0658,67.7356,78.1663,58.6199,53.3077,63.6868,16.736,13.9731,18.5078,8.188,7.1735,8.5906,7.175,4.7418,1489.925,9.25,5.8928,49.0049,67.9693,29.5083,205.0239,295.7139,114.8239,99.9207,145.8144,53.7037,198.7316,289.46,108.717,336.494,2.296,11447.7
1722,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2018,146348.782,146430.146,67986.42,78443.725,8.9419,86.669,38.1693,-177.242,-1.211,162.727,0.111,,1612.827,53.991,11.014,1.5813,0.7564,28.637,105.8,1790.069,902.298,887.771,12.225,72.9363,67.7287,77.8979,58.5233,53.34,63.4434,16.5763,13.9828,18.2257,7.8453,7.0339,8.1671,8.12,4.9968,1605.89,10.431,6.2231,49.9435,69.1066,30.2754,204.8,295.1923,115.28,100.3791,146.1948,54.2113,198.1153,288.5089,108.8458,339.972,2.322,11211.89
1723,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2021,146187.972,145836.175,67747.121,78089.053,8.9057,86.7562,38.8562,-1017.705,-6.979,-703.594,-0.482,,1421.809,48.778,9.749,1.505,0.7201,28.884,105.7,2439.514,1188.017,1251.497,16.728,69.8066,65.1725,74.3751,55.3307,50.7314,59.8488,13.8173,11.3548,15.5,6.6912,5.723,7.0863,6.372,4.4634,1416.354,8.444,5.762,54.1314,75.4168,32.1374,232.3575,318.3698,145.7138,114.4839,163.0858,65.3877,226.3022,312.1991,140.0237,314.112,2.154,12425.03
1724,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2017,146024.816,146186.799,67845.06,78341.739,8.9271,86.6014,37.9539,-72.646,-0.497,323.966,0.222,,1695.524,60.216,11.598,1.6265,0.7773,28.511,105.9,1768.17,884.773,883.397,12.095,72.845,67.6777,77.7436,58.4699,53.3224,63.3317,16.534,14.0158,18.1155,7.7495,6.9767,8.0534,9.206,5.3433,1687.72,11.723,6.6504,51.7508,71.748,31.25,205.2294,295.5069,116.0031,101.2656,147.6665,54.4763,198.1127,288.4626,109.0608,396.619,2.713,10658.91
1725,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2023,145675.42,145440.5,67535.082,77905.419,8.8815,86.6886,39.4535,-497.65,-3.422,-469.839,-0.323,,1297.207,48.976,8.919,1.449,0.6961,28.9,105.7,1794.857,937.073,857.784,12.341,73.1541,67.2561,79.0375,58.5861,52.7016,64.4429,17.1234,14.3733,18.8824,8.5792,7.5433,8.9846,4.617,3.5418,1293.266,5.935,4.4442,58.54,91.3745,23.8627,206.7043,305.8971,103.5669,109.3554,169.6588,46.6057,201.7929,301.0344,98.7869,27.807,0.191,14159.39
1726,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2016,145532.538,145778.677,67619.621,78159.057,8.9022,86.5154,37.7969,44.629,0.306,492.278,0.338,,1886.74,71.444,12.942,1.7734,0.8462,28.39,105.9,1842.111,929.172,912.939,12.636,71.9101,66.5881,77.048,57.5866,52.2816,62.6896,16.1657,13.6478,17.7491,7.5415,6.7652,7.8427,11.286,5.959,1877.041,14.0,7.3748,56.9413,79.3403,33.9877,221.3142,318.4219,124.3824,110.8841,162.3256,58.7591,213.6734,310.9809,116.8106,447.645,3.071,8663.16
1727,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2022,145484.378,145579.899,67630.48,77949.419,8.89,86.762,39.0715,-574.586,-3.946,191.042,0.131,,1334.912,48.357,9.17,1.452,0.6967,28.898,105.7,1909.498,974.83,934.668,13.116,72.5174,67.1415,77.7635,57.9858,52.6306,63.1969,16.0952,13.3009,17.9322,8.0432,6.9928,8.4577,5.237,3.8856,1330.459,6.816,4.9197,54.8041,81.6532,26.7382,201.7218,288.9301,112.9671,105.4519,157.5296,52.0685,196.3126,283.4546,107.8206,765.629,5.259,15619.61
1728,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2024,145205.581,144820.423,67204.956,77615.466,8.8436,86.5871,39.8713,-592.272,-4.09,-770.316,-0.532,,1270.354,47.055,8.772,1.457,0.6998,29.016,105.7,1862.626,978.315,884.311,12.862,73.3428,67.479,79.1858,58.8494,53.0875,64.555,16.9225,13.9487,18.8867,8.1178,6.9703,8.5836,5.393,4.2322,1265.735,6.871,5.2889,48.9686,72.2601,24.6503,201.9903,300.8459,100.7459,99.4492,150.9422,47.0742,196.2259,294.2255,96.3764,-178.042,-1.229,14889.02
1729,192,643,,RUS,RU,643,4,Country/Area,923,Russian Federation,2,Medium,2015,145082.693,145307.616,67369.147,77938.469,8.8734,86.4389,37.6849,65.081,0.448,449.845,0.31,,1934.705,81.322,13.315,1.7901,0.853,28.198,105.9,1869.624,952.109,917.515,12.867,71.3449,65.8565,76.7052,57.0721,51.6067,62.3886,15.9947,13.4346,17.6,7.4108,6.5781,7.7281,12.693,6.5636,1923.735,15.533,8.0781,61.8112,86.6852,36.3028,231.1907,333.0367,128.7681,117.7252,172.9834,61.4532,223.029,325.0844,120.7198,384.756,2.648,9277.71
1730,76,646,,RWA,RW,646,4,Country/Area,910,Rwanda,2,Medium,2024,14106.347,14256.567,6954.758,7301.808,588.871,95.2471,19.6833,316.024,22.167,300.439,2.107,32.8974,400.062,24.438,28.062,3.6446,1.693,30.587,102.6,84.038,43.334,40.704,5.895,68.0167,65.7084,70.1378,55.9029,53.7477,57.8414,13.9616,13.0573,14.6286,6.2415,5.9182,6.4197,10.563,26.4351,390.719,14.061,35.388,93.075,107.9331,78.3233,240.8492,282.755,202.0547,107.0778,129.7932,85.6112,207.5935,248.4584,170.3308,-15.582,-1.093,999.65
