country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Faroe Islands,52635.04,56875.28,59387.35,62526.49,63067.07,62240.82,68749.4,66139.38,71774.35,
Fiji,5097.53,5363.79,5826.85,6085.42,5950.83,4844.42,4696.17,5405.03,5888.74,6288.4
Finland,42560.35,43451.26,46085.02,49654.25,48358.18,48828.68,53099.14,50440.56,52821.51,53188.62
Fragile and conflict affected situations,1818.81,1639.71,1710.94,1828.23,1898.51,1689.92,1763.85,1903.9,1781.86,1690.97
France,36702.43,37024.22,38687.16,41418.18,40408.28,39169.86,43725.1,41082.81,44690.93,46150.49
French Polynesia,19166.96,19690.08,20826.93,21925.62,21582.59,19966.48,21982.9,20738.65,22774.14,
Gabon,7047.13,6677.07,6921.73,7624.28,7441.18,6605.8,8181.41,8409.21,8071.4,8218.76
"Gambia, The",619.54,650.06,642.52,696.22,738.19,720.34,781.89,836.24,888.16,908.53
Georgia,4086.62,4143.4,4418.75,4804.05,4741.28,4300.86,5083.61,6729.85,8283.67,9193.66
Germany,41911.01,42961.04,45526.6,48874.86,47623.87,47379.77,52265.65,49686.12,53940.41,55800.22
Ghana,1722.77,1912.48,2012.29,2195.32,2186.66,2195.45,2445.19,2229.89,2383.9,2405.79
Gibraltar,,,,,,,,,,
Greece,17980.73,17919.24,18631.99,19873.4,19335.36,17886.73,20654.7,20971.83,23400.73,24752.11
Greenland,44536.35,48181.75,50765.75,54545.14,53309.2,54812.67,58135.99,55635,58498.97,
Grenada,8694.12,9221.23,9751.43,10083.02,10462.79,8968.56,9622.24,10535.46,11308.29,11871.61
Guam,35165.7,35930.66,36779.01,37195.95,39274.94,36482.94,38074.88,41833.15,,
Guatemala,3893.51,4060.14,4325,4352.95,4512,4477.62,4912.62,5358.7,5758.31,6150.03
Guinea,747.36,712,833.6,933.27,1031.34,1053.66,1244.97,1416.6,1555.49,1717.02
Guinea-Bissau,645.07,679.67,783.12,808.53,807.43,836.27,912.48,873.44,964.93,962.98
Guyana,5640.42,5870.88,6178.67,6048.39,6405.82,6775.71,9860.87,17913.49,20473.7,29883.63
